Node_ID,Skill,Community_ID
512,RxSwift,0
1,.NET,0
2,.NET Core,0
7,AD Tech,0
11,AML,0
524,SEO,0
526,SOLID,0
16,ASP.NET,0
529,SPM,0
534,SSE,0
24,AWS CloudFormation,0
25,AWS CloudFront,0
26,AWS CodePipeline,0
539,SWC,0
28,AWS ECS,0
29,AWS EKS,0
30,AWS ElastiCache,0
31,AWS Elastic Beanstalk,0
544,Search Engine,0
33,AWS Lambda,0
34,AWS OpenSearch,0
547,Semantic Markup,0
549,Sentry,0
37,AWS Route 53,0
551,Shopify,0
40,AWS SQS,0
555,Snowflake,0
46,Amplitude,0
49,Android Studio,0
562,Spring Cloud,0
563,Spring Security,0
52,Ant Design,0
54,Apollo Client,0
56,Apps Script,0
57,AppsFlyer,0
569,Storybook,0
571,Styled-components,0
572,Superset,0
573,Svelte,0
574,Swagger,0
568,Storyboard,0
64,Axon Framework,0
576,Swift Concurrency,0
66,BDD,0
67,BFF,0
70,BLoC,0
72,Babel,0
73,Babylon.js,0
74,Backoffice,0
588,Tailwind CSS,0
589,Tanstack Query,0
79,Biome,0
80,Bitbucket,0
599,Tuist,0
600,Turborepo,0
601,TypeORM,0
605,UIKit,0
94,CCNA,0
96,CDC,0
97,CDN,0
99,CGAL,0
101,CMS,0
614,VIPER,0
103,CQRS,0
617,VOC,0
621,VTK,0
110,Cafe24,0
111,Cassandra,0
115,Celery,0
628,Vite,0
117,ChatGPT,0
629,Vitest,0
631,Vuex,0
116,Chart.js,0
634,WMS,0
123,Cloudflare,0
124,CodeIgniter,0
125,CodePush,0
126,Codec,0
639,Web Accessibility,0
638,Web API,0
127,Cohort Analysis,0
128,Combine,0
643,WebAssembly,0
132,Copilot,0
133,Core Graphics,0
646,WebKit,0
135,Crawler,0
637,WatchOS,0
649,WebView,0
140,Cursor,0
652,Whisper,0
142,D3.js,0
144,DDD,0
658,Wireframe,0
146,DICOM,0
148,DNS,0
661,XML,0
659,XCTest,0
663,Xcode,0
152,Dart,0
665,Yarn Berry,0
667,Zeplin,0
668,Zod,0
156,Data Mart,0
672,ePUB,0
161,DataHub,0
674,iPadOS,0
163,Databricks,0
164,Datadog,0
676,k6,0
678,nGrinder,0
679,pytest,0
680,shadcn/ui,0
167,Debezium,0
677,n8n,0
681,tvOS,0
686,정보보안기사,0
177,DocumentDB,0
178,DynamoDB,0
179,E-commerce,0
185,ESBuild,0
186,ESLint,0
195,Event-driven,0
196,Excel,0
